anno,provincia,comune,tipo_di_strada,condizioni_meteorologiche,natura_incidente,morti_entro_30_giorni,feriti,Ora,tipo_di_strada_txt,Ora_formattata
24,26,86,2,1,12,0,1,14.0,Doppio senso,14:00
24,26,73,2,1,5,0,1,9.0,Doppio senso,09:00
24,26,86,2,1,2,0,1,12.0,Doppio senso,12:00
24,26,46,2,1,4,0,1,13.0,Doppio senso,13:00
24,26,12,2,1,2,0,1,16.0,Doppio senso,16:00
24,26,92,2,1,2,0,3,16.0,Doppio senso,16:00
24,26,92,2,1,8,0,1,8.0,Doppio senso,08:00
24,26,92,2,1,2,0,1,13.0,Doppio senso,13:00
24,26,92,2,1,2,0,1,16.0,Doppio senso,16:00
24,26,92,2,1,2,0,1,10.0,Doppio senso,10:00
24,26,92,2,1,3,0,2,15.0,Doppio senso,15:00
24,26,92,1,1,3,0,2,13.0,Senso unico,13:00
24,26,92,2,1,4,0,1,7.0,Doppio senso,07:00
24,26,92,2,3,2,0,1,16.0,Doppio senso,16:00
24,26,92,2,1,1,0,1,10.0,Doppio senso,10:00
24,26,92,2,1,2,0,1,18.0,Doppio senso,18:00
24,26,92,1,1,2,0,1,12.0,Senso unico,12:00
24,26,92,2,1,2,0,1,10.0,Doppio senso,10:00
24,26,67,2,1,5,0,1,18.0,Doppio senso,18:00
24,26,92,2,1,3,0,2,7.0,Doppio senso,07:00
24,26,92,1,1,2,0,1,12.0,Senso unico,12:00
24,26,92,2,1,5,0,1,9.0,Doppio senso,09:00
24,26,92,2,1,2,0,2,8.0,Doppio senso,08:00
24,26,92,2,1,8,0,1,18.0,Doppio senso,18:00
24,26,92,2,1,4,0,1,12.0,Doppio senso,12:00
24,1,130,2,1,3,0,2,9.0,Doppio senso,09:00
24,1,130,1,1,4,0,3,17.0,Senso unico,17:00
24,1,130,1,1,3,0,2,18.0,Senso unico,18:00
24,1,130,2,3,2,0,1,14.0,Doppio senso,14:00
24,1,130,2,3,4,0,1,17.0,Doppio senso,17:00
24,1,130,2,7,5,0,1,16.0,Doppio senso,16:00
24,1,130,2,1,8,0,1,13.0,Doppio senso,13:00
24,1,130,2,7,5,0,1,9.0,Doppio senso,09:00
24,1,130,2,1,5,0,2,16.0,Doppio senso,16:00
24,1,130,2,1,2,0,2,12.0,Doppio senso,12:00
24,1,130,2,1,10,0,1,4.0,Doppio senso,04:00
24,1,130,2,1,2,0,1,17.0,Doppio senso,17:00
24,1,130,2,1,10,0,1,17.0,Doppio senso,17:00
24,1,130,2,1,2,0,1,17.0,Doppio senso,17:00
24,1,130,3,1,2,0,3,18.0,Due carreggiate,18:00
24,1,130,3,1,5,0,1,18.0,Due carreggiate,18:00
24,1,130,2,3,2,0,1,7.0,Doppio senso,07:00
24,1,130,2,1,2,0,1,12.0,Doppio senso,12:00
24,1,130,2,1,5,1,0,18.0,Doppio senso,18:00
24,1,130,3,1,4,0,1,9.0,Due carreggiate,09:00
24,1,130,2,1,2,0,1,7.0,Doppio senso,07:00
24,1,130,2,1,5,0,1,10.0,Doppio senso,10:00
24,96,4,2,1,4,0,1,8.0,Doppio senso,08:00
24,96,4,1,1,2,0,1,8.0,Senso unico,08:00
24,96,4,1,1,5,0,1,11.0,Senso unico,11:00
24,96,4,2,7,2,0,1,7.0,Doppio senso,07:00
24,96,4,2,3,3,0,1,14.0,Doppio senso,14:00
24,96,4,2,1,4,0,3,14.0,Doppio senso,14:00
